text,true_label,pred_label,confidence,length,keyword,orig_label
his present   chamber   may be quite humble   but Shiyani have the tiny space very neatly organized and clean   many people pass he by but do not manage to see he   because the space be partially hide behind tree   which give he a relative privacy    there be many homeless sleep around the station    Captain Xoli Mbele   from the nearby Johannesburg Central Police station say,1,0,0.69682664,68,homeless,3
Krueger recently harness that creativity to selfpublish a book feature the poem   artwork   photography and short story of 16 ill or disabled artist from around the world   she hope the book   which contain some of her own work as well   will show how talented disabled people can be,1,0,0.85898125,51,disabled,2
1041am   parent of child who die must get compensation   free medicine must be provide to poor family across up   Ram Gopal Yadav,1,1,0.981699,26,poor-families,3
when some people feel cause problem for some other by break into their home to steal be not too good   they just result to beg   you now see people without deformity beg   when some people who be disabled work to feed their mouth   you then ask   what type of country be Nigeria   even a man who be not letter would chorus the maxim that two wrong do not make a right   the country be not work out   and people want to survive anyhow too   they have to eat they will say,1,1,0.9826323,93,disabled,4
we be alarmed to learn of your recently circulate proposal that would eviscerate the Lifeline program and leave many of the most vulnerable people in the country without access to affordable communication   as you be well aware   the Lifeline program provide a modest monthly subsidy of 925 to connect lowincome Americans to phone and internet service   as broadband price continue to soar   and affordability continue to suffer   adoption gap remain   the Lifeline program have prove critical for poor family and people of color who be catch on the wrong side of the digital divide,1,0,0.99857545,97,poor-families,4
  we share a global responsibility to respond to this crisis   we commend other who have act in a compassionate and generous way   especially the Government of Bangladesh and host community in the region who continue to provide safe refuge to their neighbour in need    he say,1,1,0.99399614,48,in-need,4
the former Chelsea star through his foundation give out toy   bag and clothe to kid in need of a bright holiday,1,1,0.98914415,23,in-need,3
it can not be right to allow home to sit empty while many struggle to find somewhere to live   other have to sleep rough on pavement during Christmas   hope against hope   for some charity to provide shelter   the number leave homeless and destitute be alarm not necessarily at Christmas,1,1,0.9940612,51,homeless,4
  People do not understand the hurt   people do not understand the pain   I ve read about woman with their child sleep in car   sleep in hotel room and it s criminal   if they re lucky and they come across COPE Galway and the lady in Osterley   then there s hope  ,1,1,0.89284927,53,women,4
he depict demonstration by refugee at the border post   their catastrophic living condition and the desperate attempt of several hundred to cross a river a few kilometre from the camp to get into Macedonia on 14 March 2016,1,0,0.8085013,40,refugee,2
18 December should serve as a time when we look with compassion at the fate of migrant   refugee and the internally displace   it be especially a time when we must plan and increase resource for creative action,1,1,0.8127945,39,migrant,4
almost apocalyptic in its devastation   the wrath of one of the most powerful storm ever to hit the Atlantic be evidence in the smash ruin of Barbuda s candycoloure home   the hopeless face of resident who have lose everything they own   and the haunted eye of their child,1,0,0.7189916,52,hopeless,3
it s calculate that over 204000 day of purposebuilt residential accommodation to otherwise potentially homeless elderly man and woman have be deliver by this personally drive altruistic act alone,1,0,0.99767166,33,homeless,3
  I and my daughter Monica be excited about provide a space for disabled people to be able to get together and earn fair price for their work    Mr Rogers say,1,1,0.98221684,32,disabled,3
when contact   Yadav say    there be two thing that drive I to deliver my good   the sense of responsibility that I have as an officer of the Government of India   and   I get happy when I see smile on the face of people who be catch up in the complexity of bureaucracy   if the government be pay I for take up responsibility   then it become my duty to help those in need  ,1,1,0.98473525,74,in-need,4
her house now hold the memory and keepsake of a migrant s life well live   selflessly offer her home and love to more than 100 british foster child and make history in the process   along with her late husband    by be the first black couple in the Lambeth Council in South London to be allow to foster white child,1,1,0.987988,61,migrant,4
sheepherde in America have always be an immigrant s job   too dirty   too cold and too lonely for anyone with option,1,1,0.97700477,25,immigrant,3
he want more do now to help those in need,1,1,0.9926965,12,in-need,3
he say    we need improve security for civilian and aid worker and access to all those in need   but we must also build a big humanitarian muscle to provide for the suffering million,1,1,0.7665809,35,in-need,3
she continue    I step away from hide behind a fabricate version of myself   I no long put action behind my fear and insecurity   I make a choice to redirect my energy to be a catalyst for change   to create a channel for woman to become the true version of themselves   along with I,1,0,0.9980338,55,women,3
bombard by schizophrenia   addiction and homelessness   you might say that Eoghan ODriscoll have be to hell and back   but he be find a new balance through paint   Interview   Michael Lanigan,1,0,0.91798985,35,homeless,4
Valerie Siddiq   my heart go out to all the deceased and the poor family   may God grant we tolerance for all race and religion,1,1,0.9939318,28,poor-families,4
  so many of we see the state of our home as some kind of reflection of our selfworth   even though it s not     and a mess can so easily make you feel like a failure   and for those who have mental illness   chronic illness   chronic pain   or disability   this can be even bad   because when you re not physically able to do a wholehouse clean   it can all seem a little hopeless  ,1,0,0.8959276,76,hopeless,4
BUSINESSMAN Norberto Quisumbing Jr   of the Norkis Group of Companies have a challenge for family who can spare some of what they have   why not adopt poor family and help they break the cycle of poverty,1,1,0.99535227,43,poor-families,4
Mum live in homeless shelter have   nowhere to bring boy on Christmas day   h   panic,1,0,0.9797752,17,homeless,3
the retailer footwear company on a mission to democratise fashion   design and the late idea in footwear and accessory globally   have show its commitment to Jamaica by again provide shoe for child in need during the Christmas season,1,1,0.98988616,41,in-need,4
on the eve of the World Refugee Day   UNHCR receive information about three new shipwreck in the Mediterranean   it be fear that at least 130 people be dead or miss   whatever the unpredictable Donald Trump may be do or undo   all our religion tell we that it be our sacred duty to give shelter to the homeless and that be what we need to do   discard the trump card from hell,1,1,0.9839219,73,homeless,4
it be write in Ecclessiastes in the Bible that   WOE to any nation where a slave become king   this typify the situation in Nigeria since the inception of that country   I weep for my country when I visit home in 2009 and tour my alma mater ABSU   the infrastructural decay reduce I to tear   no matter how much OIL be sell in the world market the money will not change the corrupt sorry situation in Nigeria   the only thing that will change it be REVOLUTION   I weep for the child   pregnant woman   the sick   infirm and the vulnerable who be trap in this diabolical hole call Nigeria   my advice to Nigerians    GOD will not do for MAN what man can do for himself   wake and take your destiny in your hand stop call on God for simple thing you can do   learn from Egypt   Tunisia and Libya experience,1,1,0.99287236,157,vulnerable,4
Pope Francis wash and kiss the foot of Muslim   Orthodox   Hindu and catholic refugee in a moving ceremony during Holy Thursday Mass at a refugee centre on the outskirt of Rome    March 24,1,1,0.6452423,36,refugee,4
  Stateless   be the story of a forget group of vietnamese refugee who spend over 16 year in the Philippines wait for resettlement   catch at the low tide of compassion fatigue by the international community   which lead to the closure of refugee camp in Southeast Asia in the early 1990   the refugee find themselves lose with no country to call home,1,1,0.993476,64,refugee,4
government support to bring the Housing First programme to Wellington will make a real difference for the homeless   say National s Wellington Central candidate Nicola Willis,1,1,0.9881017,28,homeless,4
depart from his prepared remark   Francis share his experience of the day early with thousand of people gather for his blessing   he say among the 300 refugee he greet Saturday on Lesbos be a syrian widower with two child,1,1,0.9772512,43,refugee,3
this be a new education programme introduce in this district to ensure that each vulnerable girl and boy in this district be educate   protect   respect and value and grow up to turn the tide of poverty,1,1,0.99419445,38,vulnerable,3
Haiti have legal protection for the disabled on paper   but the law be poorly implement   disabled Haitians have few opportunity to work and too many youngster with disability languish out of sight at home instead of go to school   some impoverished parent abandon disabled kid outside state institution or farm they out as domestic servant,1,1,0.5267477,57,disabled,3
if only we have more story that champion the brilliance of migrant worker perhaps we d be able to challenge the silence that permit they to be treat in such a disdainful way,1,0,0.60309917,35,migrant,4
Mari   tte Coetzee from Stofberg Family Vineyards   whose Mia Chenin Blanc 2016 be the garagiste trophy winner at last year s Michelangelo Awards and the recipient of four Platter s star for the Mari   tte Chenin Blanc 2016    say    we can be extremely proud of the current woman winemaker in our industry   especially consider most of they be juggle a family along with the long work hour,1,0,0.99847394,77,women,3
Kyle really your a pig   lol you re also very ignorant do not like over weight woman   well have u look in the mirror recently your FAT   you and your boss should be sacked never to return to radio    how dare you say go for the disabled   your more disabled than the disabled olympian   they have a genuine heart   you do not have one,1,0,0.94645387,69,disabled,4
  they have make they to become hopeless and now   in   go to God    they have end up be deceive far and their situation be exploit and the society become even bad,1,0,0.8726703,33,hopeless,4
a few of Hong Kong s mega rich   have also make a more concerted effort to improve the quality of life of those most in need   however the philanthropic approach adopt by the vast majority of they have its limitation   Philanthropy have often create a culture of dependency and have fail to tackle the root cause of social problem   for many organization   philanthropic investment be view as a cost rather than an opportunity,1,1,0.84511757,75,in-need,3
behind the initiative be danish national Lars Jorgensen and his american wife Monica   who come to the Philippines as backpack tourist 27 year ago and be move by the sight of Manila s young and homeless,1,1,0.9452398,38,homeless,4
TREVOR HAGANWINNIPEG free PRESS John Donovan   northern region director of the Addictions Foundation of Manitoba    many of they be feel pretty hopeless,1,1,0.98659873,31,hopeless,3
he say    I think we can consider introduce a negligible telecom surcharge to be entirely bear by the initiator of a call   in order to protect the poor and vulnerable amongst we   we could structure it to only take effect after the third minute of talk,1,0,0.99144846,48,vulnerable,3
the Global Gender Gap Report 2016 have rank Pakistan 143 out of 144 country   this really demonstrate the failure of feminist who be hopeless to break the historical shackle of bondage on woman and establish favorable political   educational   economic   and health condition,1,0,0.95504814,45,hopeless,4
american hegemony in industry be history   they simply allow and even encourage their prosperity to be export to low wage economy   result in local unemployed folk live in poverty   unable to pay the electricity bill and keep themselves from depression and hopelessness by sniff   snort   smoking or inject themselves with opiate,1,1,0.98906064,53,hopeless,4
t be remiss not to mention here that not all scavenge child come from poor family   child hail from affluent family use dumpsite as playground,1,0,0.90831155,28,poor-families,2
the drama s compelling nature derive from a thorough knowledge of its cast   more numerous and improbable than any soap opera s   the bite come from underlie tragedy   lose wife   lose job   pennilessness   homelessness and death   I have never laugh so much as in Soho in the Eighties,1,0,0.91363615,51,homeless,2
  it s the large humanitarian tragedy of our time    Ninette Kelley   the UN high commissioner for refugee   representative to Lebanon   tell the Guardian early this month in an interview    we do not want the world to forget that people be suffer here  ,1,1,0.9648476,45,refugee,4
